ANO;MÊS;UNIDADE DA FEDERAÇÃO;PRODUTO;SEGMENTO;VENDAS
2012;NOV;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;OUT;RONDÔNIA;ETANOL HIDRATADO;TRR;0
2012;JUL;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;472
2012;JUN;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;464
2012;MAI;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;484
2012;AGO;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;412,5
2012;NOV;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1337,82
2012;OUT;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1350,19
2012;SET;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;675
2012;ABR;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;900,07
2012;NOV;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;68
2012;OUT;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;298
2012;SET;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;56
2012;DEZ;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;114
2012;MAR;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1275,19
2012;FEV;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1417,07
2012;JAN;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1574
2012;OUT;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;544
2012;SET;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;456,92
2012;AGO;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;499,447
2012;NOV;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;559
2012;FEV;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;35
2012;JAN;DISTRITO FEDERAL;ETANOL HIDRATADO;CONSUMIDOR FINAL;25
2012;DEZ;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;587
2012;JUL;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;338,213
2012;FEV;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;794
2012;JAN;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;849,999
2012;DEZ;MATO GROSSO;ETANOL HIDRATADO;CONSUMIDOR FINAL;1260,29
2012;MAR;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;885
2012;JUN;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;358
2012;MAI;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;335
2012;ABR;GOIÁS;ETANOL HIDRATADO;CONSUMIDOR FINAL;740
2012;SET;ACRE;ETANOL HIDRATADO;TRR;0
2012;FEV;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;JAN;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;DEZ;PARÁ;ETANOL HIDRATADO;TRR;29,5
2012;MAR;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;JUN;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;MAI;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;ABR;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;NOV;PARÁ;ETANOL HIDRATADO;TRR;35
2012;JUN;PARÁ;ETANOL HIDRATADO;TRR;25
2012;MAI;PARÁ;ETANOL HIDRATADO;TRR;28
2012;ABR;PARÁ;ETANOL HIDRATADO;TRR;39
2012;JUL;PARÁ;ETANOL HIDRATADO;TRR;22
2012;OUT;PARÁ;ETANOL HIDRATADO;TRR;32
2012;SET;PARÁ;ETANOL HIDRATADO;TRR;38,5
2012;AGO;PARÁ;ETANOL HIDRATADO;TRR;30
2012;MAI;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;ABR;TOCANTINS;ETANOL HIDRATADO;TRR;5
2012;MAR;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;JUN;TOCANTINS;ETANOL HIDRATADO;TRR;5
2012;SET;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;AGO;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;JUL;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;FEV;TOCANTINS;ETANOL HIDRATADO;TRR;10
2012;SET;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;AGO;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;JUL;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;OUT;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;JAN;TOCANTINS;ETANOL HIDRATADO;TRR;5
2012;DEZ;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;NOV;AMAPÁ;ETANOL HIDRATADO;TRR;0
2012;AGO;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;JUL;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;JUN;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;SET;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;DEZ;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;NOV;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;OUT;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;MAI;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;DEZ;ACRE;ETANOL HIDRATADO;TRR;0
2012;NOV;ACRE;ETANOL HIDRATADO;TRR;0
2012;OUT;ACRE;ETANOL HIDRATADO;TRR;0
2012;JAN;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;ABR;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;MAR;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;FEV;AMAZONAS;ETANOL HIDRATADO;TRR;0
2012;NOV;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;OUT;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;SET;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;DEZ;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;MAR;PARÁ;ETANOL HIDRATADO;TRR;35
2012;FEV;PARÁ;ETANOL HIDRATADO;TRR;37
2012;JAN;PARÁ;ETANOL HIDRATADO;TRR;35,1
2012;AGO;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;MAR;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;FEV;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;JAN;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;ABR;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;JUL;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;JUN;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;MAI;RORAIMA;ETANOL HIDRATADO;TRR;0
2012;AGO;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;55,5
2012;NOV;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;433,5
2012;OUT;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;422
2012;SET;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;458,5
2012;DEZ;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;443,5
2012;MAR;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;55
2012;FEV;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;40
2012;JAN;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;75
2012;AGO;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;489,5
2012;MAR;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;492
2012;FEV;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;558,5
2012;JAN;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;454,5
2012;ABR;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;538,59
2012;JUL;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;449,77
2012;JUN;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;419
2012;MAI;MINAS GERAIS;ETANOL HIDRATADO;CONSUMIDOR FINAL;515
2012;FEV;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;445
2012;JAN;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;520
2012;DEZ;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;50
2012;MAR;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;418,86
2012;JUN;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;375
2012;MAI;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;320
2012;ABR;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;345
2012;NOV;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;10,4
2012;JUN;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;45
2012;MAI;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;55
2012;ABR;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;60
2012;JUL;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;55
2012;OUT;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;60
2012;SET;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;45
2012;AGO;ESPÍRITO SANTO;ETANOL HIDRATADO;CONSUMIDOR FINAL;65
2012;MAI;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;ABR;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;MAR;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;JUN;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;SET;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;AGO;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;JUL;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;FEV;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;SET;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;7,5
2012;AGO;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;JUL;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;OUT;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;2,5
2012;JAN;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;10
2012;DEZ;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;7,5
2012;NOV;ALAGOAS;ETANOL HIDRATADO;CONSUMIDOR FINAL;20
2012;AGO;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;101
2012;JUL;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;85
2012;JUN;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;336
2012;SET;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;60
2012;DEZ;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;495
2012;NOV;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;166,712
2012;OUT;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;161,193
2012;MAI;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;353,814
2012;DEZ;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;NOV;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;OUT;SERGIPE;ETANOL HIDRATADO;CONSUMIDOR FINAL;0
2012;JAN;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;250
2012;ABR;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;249,453
2012;MAR;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;326,462
2012;FEV;BAHIA;ETANOL HIDRATADO;CONSUMIDOR FINAL;147
2012;JUL;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;346,035
2012;DEZ;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;22
2012;NOV;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;24,5
2012;OUT;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;17,5
2012;JAN;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;129
2012;ABR;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;131,219
2012;MAR;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;119
2012;FEV;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;106
2012;SET;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;12
2012;ABR;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;17
2012;MAR;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;20
2012;FEV;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;42
2012;MAI;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;32,372
2012;AGO;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;10,5
2012;JUL;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;15
2012;JUN;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;20
2012;MAR;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;75
2012;FEV;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;66
2012;JAN;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;76,5
2012;ABR;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;86,5
2012;JUL;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;65
2012;JUN;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;59
2012;MAI;MATO GROSSO DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;64
2012;DEZ;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;131
2012;JUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;104
2012;JUN;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;116
2012;MAI;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;97,696
2012;AGO;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;148
2012;NOV;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;136,5
2012;OUT;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;109,5
2012;SET;RIO GRANDE DO SUL;ETANOL HIDRATADO;CONSUMIDOR FINAL;118,425
2012;JUN;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;13327,917
2012;MAI;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;11904,224
2012;ABR;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;10961,595
2012;JUL;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;12679,353
2012;OUT;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;7226,961
2012;SET;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;7868,377
2012;AGO;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;11720,308
2012;MAR;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;9543,535
2012;OUT;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;373
2012;SET;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;375
2012;AGO;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;435
2012;NOV;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;350
2012;FEV;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;9089,794
2012;JAN;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;11017,76
2012;DEZ;RIO DE JANEIRO;ETANOL HIDRATADO;CONSUMIDOR FINAL;460
2012;SET;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1208,5
2012;AGO;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1087
2012;JUL;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1976,584
2012;OUT;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;2939,279
2012;JAN;SANTA CATARINA;ETANOL HIDRATADO;CONSUMIDOR FINAL;7,5
2012;DEZ;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1240,8
2012;NOV;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1476
2012;JUN;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1930,378
2012;JAN;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;644,049
2012;DEZ;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;2791,183
2012;NOV;SÃO PAULO;ETANOL HIDRATADO;CONSUMIDOR FINAL;2989,524
2012;FEV;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;713,5
2012;MAI;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;1805,064
2012;ABR;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;820,174
2012;MAR;PARANÁ;ETANOL HIDRATADO;CONSUMIDOR FINAL;723
2012;ABR;PARANÁ;ETANOL HIDRATADO;TRR;334,6
2012;MAR;PARANÁ;ETANOL HIDRATADO;TRR;380
2012;FEV;PARANÁ;ETANOL HIDRATADO;TRR;239,6
2012;MAI;PARANÁ;ETANOL HIDRATADO;TRR;324
2012;AGO;PARANÁ;ETANOL HIDRATADO;TRR;167
2012;JUL;PARANÁ;ETANOL HIDRATADO;TRR;181
2012;JUN;PARANÁ;ETANOL HIDRATADO;TRR;223
2012;JAN;PARANÁ;ETANOL HIDRATADO;TRR;151,3
2012;AGO;SÃO PAULO;ETANOL HIDRATADO;TRR;1095
2012;JUL;SÃO PAULO;ETANOL HIDRATADO;TRR;972
2012;JUN;SÃO PAULO;ETANOL HIDRATADO;TRR;954
2012;SET;SÃO PAULO;ETANOL HIDRATADO;TRR;1000
2012;DEZ;SÃO PAULO;ETANOL HIDRATADO;TRR;1215
2012;NOV;SÃO PAULO;ETANOL HIDRATADO;TRR;1137
2012;OUT;SÃO PAULO;ETANOL HIDRATADO;TRR;1125
2012;JUL;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;JUN;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;MAI;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;AGO;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;NOV;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;OUT;SANTA CATARINA;ETANOL HIDRATADO;TRR;0
2012;SET;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;ABR;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;NOV;PARANÁ;ETANOL HIDRATADO;TRR;123
2012;OUT;PARANÁ;ETANOL HIDRATADO;TRR;115
2012;SET;PARANÁ;ETANOL HIDRATADO;TRR;135
2012;DEZ;PARANÁ;ETANOL HIDRATADO;TRR;290
2012;MAR;SANTA CATARINA;ETANOL HIDRATADO;TRR;0
2012;FEV;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;JAN;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;OUT;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;SET;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;AGO;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;NOV;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;FEV;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;JAN;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;DEZ;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;JUL;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;FEV;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;JAN;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;DEZ;MINAS GERAIS;ETANOL HIDRATADO;TRR;87,5
2012;MAR;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;JUN;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;MAI;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;ABR;ESPÍRITO SANTO;ETANOL HIDRATADO;TRR;0
2012;JAN;SÃO PAULO;ETANOL HIDRATADO;TRR;690
2012;DEZ;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;NOV;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;FEV;SÃO PAULO;ETANOL HIDRATADO;TRR;820
2012;MAI;SÃO PAULO;ETANOL HIDRATADO;TRR;909
2012;ABR;SÃO PAULO;ETANOL HIDRATADO;TRR;844
2012;MAR;SÃO PAULO;ETANOL HIDRATADO;TRR;940
2012;OUT;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;MAI;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;ABR;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;MAR;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;JUN;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;SET;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;AGO;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;JUL;RIO DE JANEIRO;ETANOL HIDRATADO;TRR;0
2012;DEZ;SANTA CATARINA;ETANOL HIDRATADO;TRR;3
2012;MAI;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;ABR;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;MAR;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;JUN;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;SET;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;AGO;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;JUL;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;FEV;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;SET;MATO GROSSO;ETANOL HIDRATADO;TRR;35
2012;AGO;MATO GROSSO;ETANOL HIDRATADO;TRR;44
2012;JUL;MATO GROSSO;ETANOL HIDRATADO;TRR;40
2012;OUT;MATO GROSSO;ETANOL HIDRATADO;TRR;47
2012;JAN;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;DEZ;MATO GROSSO;ETANOL HIDRATADO;TRR;67
2012;NOV;MATO GROSSO;ETANOL HIDRATADO;TRR;48
2012;AGO;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;JUL;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;JUN;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;SET;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;DEZ;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;NOV;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;OUT;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;MAI;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;DEZ;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;NOV;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;OUT;GOIÁS;ETANOL HIDRATADO;TRR;0
2012;JAN;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;ABR;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;MAR;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;FEV;DISTRITO FEDERAL;ETANOL HIDRATADO;TRR;0
2012;NOV;RIO GRANDE DO SUL;ETANOL HIDRATADO;TRR;169
2012;OUT;RIO GRANDE DO SUL;ETANOL HIDRATADO;TRR;145
2012;SET;RIO GRANDE DO SUL;ETANOL HIDRATADO;TRR;165
2012;DEZ;RIO GRANDE DO SUL;ETANOL HIDRATADO;TRR;209
2012;MAR;MATO GROSSO DO SUL;ETANOL HIDRATADO;TRR;5
2012;FEV;MATO GROSSO DO SUL;ETANOL HIDRATADO;TRR;0
2012;JAN;MATO GROSSO DO SUL;ETANOL HIDRATADO;TRR;0
